Invoice ID,Unit price
565-17-3836,47.67
498-41-1961,66.68
593-95-4461,74.86
226-71-3580,23.75
283-79-9594,48.51
430-60-3493,94.88
139-20-0155,40.3
558-80-4082,27.85
278-97-7759,62.48
316-68-6352,36.36
585-03-5943,18.11
211-05-0490,51.92
727-75-6477,28.84
744-02-5987,78.38
307-83-9164,60.01
779-06-0012,88.61
446-47-6729,99.82
573-10-3877,39.01
735-06-4124,48.61
439-54-7422,51.19
396-90-2219,14.96
411-77-0180,72.2
286-01-5402,40.23
803-17-8013,88.79
512-98-1403,26.48
848-42-2560,81.91
532-59-7201,79.93
181-94-6432,69.33
870-76-1733,14.23
423-64-4619,15.55
227-07-4446,78.13
174-36-3675,99.37
428-83-5800,21.08
603-07-0961,74.79
704-20-4138,29.67
787-15-1757,44.07
649-11-3678,22.93
622-20-1945,39.42
372-94-8041,15.26
563-91-7120,61.77
746-54-5508,21.52
276-54-0879,97.74
815-11-1168,99.78
719-76-3868,94.26
730-61-8757,51.13
340-66-0321,36.36
868-81-1752,22.02
634-97-8956,32.9
566-71-1091,77.02
442-48-3607,23.48
835-16-0096,14.7
527-09-6272,28.45
898-04-2717,76.4
692-27-8933,57.95
633-09-3463,47.65
374-17-3652,42.82
378-07-7001,48.09
433-75-6987,55.97
873-95-4984,76.9
416-13-5917,97.03
150-89-8043,44.65
135-84-8019,77.93
441-94-7118,71.95
725-96-3778,89.25
531-80-1784,26.02
400-45-1220,13.5
860-79-0874,99.3
834-61-8124,51.69
115-99-4379,54.73
565-67-6697,27
320-49-6392,30.24
889-04-9723,89.14
632-90-0281,37.55
554-42-2417,95.44
453-63-6187,27.5
578-80-7669,74.97
612-36-5536,80.96
605-72-4132,94.47
471-41-2823,99.79
462-67-9126,73.22
272-27-9238,41.24
834-25-9262,81.68
122-61-9553,51.32
468-88-0009,65.94
613-59-9758,14.36
254-31-0042,21.5
201-86-2184,26.26
261-12-8671,60.96
730-70-9830,70.11
382-25-8917,42.08
422-29-8786,67.09
667-23-5919,96.7
843-01-4703,35.38
743-88-1662,95.49
595-86-2894,96.98
182-69-8360,23.65
289-15-7034,82.33
462-78-5240,26.61
868-52-7573,99.69
153-58-4872,74.89
662-72-2873,40.94
525-88-7307,75.82
689-16-9784,46.77
725-56-0833,32.32
394-41-0748,54.07
596-42-3999,18.22
541-89-9860,80.48
173-82-9529,37.95
563-36-9814,76.82
308-47-4913,52.26
885-17-6250,79.74
726-27-2396,77.5
316-01-3952,54.27
760-54-1821,13.59
793-10-3222,41.06
346-12-3257,19.24
110-05-6330,39.43
651-61-0874,46.22
236-86-3015,13.98
831-64-0259,39.75
587-03-7455,97.79
882-40-4577,67.26
732-67-5346,13.79
725-32-9708,68.71
256-08-8343,56.53
372-26-1506,23.82
244-08-0162,34.21
569-71-4390,21.87
132-23-6451,20.97
696-90-2548,25.84
472-15-9636,50.93
268-03-6164,96.11
750-57-9686,45.38
186-09-3669,81.51
848-07-1692,57.22
745-71-3520,25.22
266-76-6436,38.6
740-22-2500,84.05
271-88-8734,97.21
301-81-8610,25.42
489-64-4354,16.28
198-84-7132,40.61
269-10-8440,53.17
650-98-6268,20.87
741-73-3559,67.27
325-77-6186,90.65
286-75-7818,69.08
574-57-9721,43.27
459-50-7686,23.46
616-87-0016,95.54
837-55-7229,47.44
751-69-0068,99.24
257-73-1380,82.93
345-08-4992,33.99
549-96-4200,17.04
810-60-6344,40.86
450-28-2866,17.44
394-30-3170,88.43
138-17-5109,89.21
192-98-7397,12.78
301-11-9629,19.1
390-80-5128,19.15
235-46-8343,27.66
453-12-7053,45.74
296-11-7041,27.07
449-27-2918,39.12
891-01-7034,74.71
744-09-5786,22.01
727-17-0390,63.61
568-88-3448,25
187-83-5490,20.77
767-54-1907,29.56
710-46-4433,77.4
533-33-5337,79.39
325-90-8763,46.57
729-46-7422,35.89
639-76-1242,40.52
234-03-4040,73.05
326-71-2155,73.95
320-32-8842,22.62
470-32-9057,51.34
878-30-2331,54.55
440-59-5691,37.15
554-53-3790,37.02
746-19-0921,21.58
233-34-0817,98.84
767-05-1286,83.77
340-21-9136,40.05
405-31-3305,43.13
731-59-7531,72.57
676-39-6028,64.44
502-05-1910,65.18
485-30-8700,33.26
598-47-9715,84.07
701-69-8742,34.37
575-67-1508,38.6
541-08-3113,65.97
246-11-3901,32.8
674-15-9296,37.14
305-18-3552,60.38
493-65-6248,36.98
438-01-4015,49.49
709-58-4068,41.09
795-49-7276,37.15
556-72-8512,22.96
627-95-3243,77.68
686-41-0932,34.7
510-09-5628,19.66
608-04-3797,25.32
148-82-2527,12.12
437-53-3084,99.89
632-32-4574,75.92
556-97-7101,63.22
862-59-8517,90.24
401-18-8016,98.13
420-18-8989,51.52
277-63-2961,73.97
573-98-8548,31.9
620-02-2046,69.4
282-35-2475,93.31
511-54-3087,88.45
726-29-6793,24.18
387-49-4215,48.5
862-17-9201,84.05
291-21-5991,61.29
602-80-9671,15.95
347-72-6115,90.74
209-61-0206,42.91
595-27-4851,54.28
189-52-0236,99.55
503-07-0930,58.39
413-20-6708,51.47
425-85-2085,54.86
521-18-7827,39.39
220-28-1851,34.73
600-38-9738,71.92
734-91-1155,45.71
451-28-5717,83.17
609-81-8548,37.44
133-14-7229,62.87
534-01-4457,81.71
719-89-8991,91.41
286-62-6248,39.21
339-38-9982,59.86
827-44-5872,54.36
827-77-7633,98.09
287-83-1405,25.43
435-13-4908,86.68
857-67-9057,22.95
236-27-1144,16.31
892-05-6689,28.32
583-41-4548,16.67
339-12-4827,73.96
643-38-7867,97.94
308-81-0538,73.05
358-88-9262,87.48
460-35-4390,30.68
343-87-0864,75.88
173-50-1108,20.18
243-47-2663,18.77
841-18-8232,71.2
701-23-5550,38.81
647-50-1224,29.42
541-48-8554,60.95
539-21-7227,51.54
213-32-1216,66.06
747-58-7183,57.27
582-52-8065,54.31
210-57-1719,58.24
399-69-4630,22.21
134-75-2619,19.32
356-44-8813,37.48
198-66-9832,72.04
283-26-5248,98.52
712-39-0363,41.66
218-59-9410,72.42
174-75-0888,21.58
866-99-7614,89.2
134-54-4720,42.42
760-90-2357,74.51
514-37-2845,99.25
698-98-5964,81.21
718-57-9773,49.33
651-88-7328,65.74
241-11-2261,79.86
408-26-9866,73.98
834-83-1826,82.04
343-61-3544,26.67
239-48-4278,10.13
355-34-6244,72.39
550-84-8664,85.91
339-96-8318,81.31
458-61-0011,60.3
592-34-6155,31.77
797-88-0493,64.27
207-73-1363,69.51
390-31-6381,27.22
443-82-0585,77.68
339-18-7061,92.98
359-90-3665,18.08
375-72-3056,63.06
127-47-6963,51.71
278-86-2735,52.34
695-28-6250,43.06
379-17-6588,59.61
227-50-3718,14.62
302-15-2162,46.53
788-07-8452,24.24
560-49-6611,45.58
880-35-0356,75.2
585-11-6748,96.8
470-31-3286,14.82
152-68-2907,52.2
123-35-4896,46.66
258-69-7810,36.85
334-64-2006,70.32
219-61-4139,83.08
881-41-7302,64.99
373-09-4567,77.56
642-30-6693,54.51
484-22-8230,51.89
830-58-2383,31.75
559-98-9873,53.65
544-32-5024,49.79
318-12-0304,30.61
349-97-8902,57.89
421-95-9805,28.96
277-35-5865,98.97
789-23-8625,93.22
284-54-4231,80.93
443-59-0061,67.45
509-29-3912,38.72
327-40-9673,72.6
840-19-2096,87.91
828-46-6863,98.53
641-96-3695,43.46
420-97-3340,71.68
436-54-4512,91.61
670-79-6321,94.59
852-62-7105,83.25
598-06-7312,91.35
135-13-8269,78.88
816-57-2053,60.87
628-90-8624,82.58
856-66-2701,53.3
308-39-1707,12.09
149-61-1929,64.19
655-07-2265,78.31
589-02-8023,83.77
420-04-7590,99.7
182-88-2763,79.91
188-55-0967,66.47
610-46-4100,28.95
318-81-2368,46.2
364-33-8584,17.63
665-63-9737,52.42
695-09-5146,98.79
155-45-3814,88.55
794-32-2436,55.67
131-15-8856,72.52
273-84-2164,12.05
706-36-6154,19.36
778-89-7974,70.21
574-31-8277,33.63
859-71-0933,15.49
740-11-5257,24.74
369-82-2676,75.66
563-47-4072,55.81
742-04-5161,72.78
149-15-7606,37.32
133-77-3154,60.18
169-52-4504,15.69
250-81-7186,99.69
562-12-5430,88.15
816-72-8853,27.93
491-38-3499,55.45
322-02-2271,42.97
842-29-4695,17.14
725-67-2480,58.75
641-51-2661,87.1
714-02-3114,98.8
518-17-2983,48.63
779-42-2410,57.74
190-14-3147,17.97
408-66-6712,47.71
679-22-6530,40.62
588-47-8641,56.04
642-61-4706,93.4
576-31-4774,73.41
556-41-6224,33.64
811-03-8790,45.48
242-11-3142,83.77
752-23-3760,64.08
274-05-5470,73.47
648-94-3045,58.95
130-67-4723,48.5
528-87-5606,39.48
320-85-2052,34.81
370-96-0655,49.32
105-10-6182,21.48
510-79-0415,23.08
241-96-5076,49.1
767-97-4650,64.83
648-83-1321,63.56
173-57-2300,72.88
305-03-2383,67.1
394-55-6384,70.19
266-20-6657,55.04
689-05-1884,48.63
196-01-2849,73.38
372-62-5264,52.6
800-09-8606,87.37
182-52-7000,27.04
826-58-8051,62.19
868-06-0466,69.58
751-41-9720,97.5
626-43-7888,60.41
176-64-7711,32.32
191-29-0321,19.77
729-06-2010,80.47
640-48-5028,88.39
186-79-9562,71.77
834-45-5519,43
162-65-8559,68.98
760-27-5490,15.62
445-30-9252,25.7
786-94-2700,80.62
728-88-7867,75.53
183-21-3799,77.63
268-20-3585,13.85
735-32-9839,98.7
258-92-7466,35.68
857-16-3520,71.46
482-17-1179,11.94
788-21-5741,45.38
821-14-9046,17.48
418-05-0656,25.56
678-79-0726,90.63
776-68-1096,44.12
592-46-1692,36.77
434-35-9162,23.34
149-14-0304,28.5
442-44-6497,55.57
174-64-0215,69.74
210-74-9613,97.26
299-29-0180,52.18
247-11-2470,22.32
635-28-5728,56
756-49-0168,19.7
438-23-1242,75.88
238-45-6950,53.72
607-65-2441,81.95
386-27-7606,81.2
137-63-5492,58.76
197-77-7132,91.56
805-86-0265,93.96
733-29-1227,55.61
451-73-2711,84.83
373-14-0504,71.63
546-80-2899,37.69
345-68-9016,31.67
390-17-5806,38.42
457-13-1708,65.23
664-14-2882,10.53
487-79-6868,12.29
314-23-4520,81.23
210-30-7976,22.32
585-86-8361,27.28
807-14-7833,17.42
775-72-1988,73.28
288-38-3758,84.87
652-43-6591,97.29
785-96-0615,35.74
406-46-7107,96.52
250-17-5703,18.85
156-95-3964,55.39
842-40-8179,77.2
525-09-8450,72.13
410-67-1709,63.88
587-73-4862,10.69
787-87-2010,55.5
593-14-4239,95.46
801-88-0346,76.06
388-76-2555,13.69
711-31-1234,95.64
886-54-6089,11.43
707-32-7409,95.54
759-98-4285,85.87
201-63-8275,67.99
471-06-8611,52.42
200-16-5952,65.65
120-54-2248,28.86
102-77-2261,65.31
875-31-8302,93.38
102-06-2002,25.25
457-94-0464,87.87
629-42-4133,21.8
534-53-3526,94.76
307-04-2070,30.62
468-99-7231,44.01
516-77-6464,10.16
404-91-5964,74.58
886-77-9084,71.89
790-38-4466,10.99
704-10-4056,60.47
497-37-6538,58.91
651-96-5970,46.41
400-80-4065,68.55
744-16-7898,97.37
263-12-5321,92.6
702-72-0487,46.61
605-83-1050,27.18
443-60-9639,60.87
864-24-7918,24.49
359-94-5395,92.78
401-09-4232,86.69
751-15-6198,23.01
324-41-6833,30.2
474-33-8305,67.39
759-29-9521,48.96
831-81-6575,75.59
220-68-6701,77.47
618-34-8551,93.18
257-60-7754,50.23
559-61-5987,17.75
189-55-2313,62.18
565-91-4567,10.75
380-60-5336,40.26
815-04-6282,64.97
674-56-6360,95.15
778-34-2523,48.62
499-27-7781,53.21
477-59-2456,45.44
832-51-6761,33.88
869-11-3082,96.16
190-59-3964,47.16
366-43-6862,52.89
186-43-8965,47.68
784-21-9238,10.17
276-75-6884,68.71
109-86-4363,60.08
569-76-2760,22.01
222-42-0244,72.11
760-53-9233,41.28
538-22-0304,64.95
416-17-9926,74.22
237-44-6163,10.56
636-17-0325,62.57
343-75-9322,11.85
528-14-9470,91.3
427-45-9297,40.73
807-34-3742,52.38
288-62-1085,38.54
670-71-7306,44.63
660-29-7083,55.87
271-77-8740,29.22
497-36-0989,51.94
291-59-1384,60.3
860-73-6466,39.47
549-23-9016,14.87
896-34-0956,21.32
804-38-3935,93.78
585-90-0249,73.26
862-29-5914,22.38
845-94-6841,72.88
125-45-2293,99.1
843-73-4724,74.1
409-33-9708,98.48
658-66-3967,53.19
866-70-2814,52.79
160-22-2687,95.95
895-03-6665,36.51
770-42-8960,21.12
748-45-2862,28.31
234-36-2483,57.59
316-66-3011,47.63
848-95-6252,86.27
840-76-5966,12.76
152-03-4217,11.28
533-66-5566,51.07
124-31-1458,79.59
176-78-1170,33.81
361-59-0574,90.53
101-81-4070,62.82
631-34-1880,24.31
852-82-2749,64.59
873-14-6353,24.82
584-66-4073,56.5
544-55-9589,21.43
166-19-2553,89.06
737-88-5876,23.29
154-87-7367,65.26
885-56-0389,52.35
608-05-3804,39.75
448-61-3783,90.02
761-49-0439,12.1
490-95-0021,33.21
115-38-7388,10.18
311-13-6971,31.99
291-55-6563,34.42
548-48-3156,83.34
460-93-5834,45.58
325-89-4209,87.9
884-80-6021,73.47
137-74-8729,12.19
880-46-5796,76.92
389-70-2397,83.66
114-35-5271,57.91
607-76-6216,92.49
715-20-1673,28.38
811-35-1094,50.45
699-88-1972,99.16
781-84-8059,60.74
409-49-6995,47.27
725-54-0677,85.6
146-09-5432,35.04
377-79-7592,44.84
509-10-0516,45.97
595-94-9924,27.73
865-41-9075,11.53
545-07-8534,58.32
118-62-1812,78.38
450-42-3339,84.61
851-98-3555,82.88
186-71-5196,79.54
624-01-8356,49.01
313-66-9943,29.15
151-27-8496,56.13
453-33-6436,93.12
522-57-8364,51.34
459-45-2396,99.6
717-96-4189,35.49
722-13-2115,42.85
749-81-8133,94.67
777-67-2495,68.97
636-98-3364,26.26
246-55-6923,35.79
181-82-6255,16.37
838-02-1821,12.73
887-42-0517,83.14
457-12-0244,35.22
226-34-0034,13.78
321-49-7382,88.31
397-25-8725,39.62
431-66-2305,88.25
825-94-5922,25.31
641-62-7288,99.92
756-93-1854,83.35
243-55-8457,74.44
458-10-8612,64.08
501-61-1753,63.15
235-06-8510,85.72
433-08-7822,78.89
361-85-2571,89.48
131-70-8179,92.09
500-02-2261,57.29
720-72-2436,66.52
702-83-5291,99.82
809-69-9497,45.68
449-16-6770,50.79
333-23-2632,10.08
489-82-1237,93.88
859-97-6048,84.25
676-10-2200,53.78
373-88-1424,35.81
365-16-4334,26.43
503-21-4385,39.91
305-89-2768,21.9
574-80-1489,62.85
784-08-0310,21.04
200-40-6154,65.91
846-10-0341,42.57
577-34-7579,50.49
430-02-3888,46.02
867-47-1948,15.8
384-59-6655,98.66
256-58-3609,91.98
324-92-3863,20.89
593-08-5916,15.5
364-34-2972,96.82
794-42-3736,33.33
172-42-8274,38.27
558-60-5016,33.3
195-06-0432,81.01
605-03-2706,15.8
214-30-2776,34.49
746-04-1077,84.63
448-34-8700,36.91
452-04-8808,87.08
531-56-4728,80.08
744-82-9138,86.13
883-69-1285,49.92
221-25-5073,74.66
518-71-6847,26.6
156-20-0370,25.45
151-33-7434,67.77
728-47-9078,59.59
809-46-1866,58.15
139-32-4183,97.48
148-41-7930,99.96
189-40-5216,96.37
374-38-5555,63.71
764-44-8999,14.76
552-44-5977,62
267-62-7380,82.34
430-53-4718,75.37
886-18-2897,56.56
602-16-6955,76.6
745-74-0715,58.03
690-01-6631,17.49
652-49-6720,60.95
233-67-5758,40.35
303-96-2227,97.38
727-02-1313,31.84
347-56-2442,65.82
849-09-3807,88.34
