Invoice ID,Branch,City,,Customer type,Gender,Product line,,Quantity,,Date,,Time,,Payment,Rating
291-32-1427,B,Mandalay,,Member,Male,Fashion accessories,,5,,05-03-23,,12:29,,Ewallet,5.3
659-65-8956,B,Mandalay,,Member,Male,Fashion accessories,,1,,16-01-23,,15:26,,Ewallet,5.2
642-32-2990,A,Yangon,,Normal,Female,Food and beverages,,10,,02-02-23,,20:48,,Ewallet,6
378-24-2715,B,Mandalay,,Normal,Male,Home and lifestyle,,2,,20-01-23,,20:38,,Ewallet,4.1
638-60-7125,A,Yangon,,Normal,Female,Electronic accessories,,8,,14-02-23,,17:03,,Credit card,5.2
659-36-1684,C,Naypyitaw,,Member,Male,Sports and travel,,7,,12-01-23,,12:02,,Credit card,6.5
219-22-9386,B,Mandalay,,Member,Male,Sports and travel,,9,,09-03-23,,17:26,,Credit card,4.2
336-78-2147,C,Naypyitaw,,Member,Male,Home and lifestyle,,8,,13-03-23,,19:52,,Credit card,4.6
268-27-6179,B,Mandalay,,Member,Female,Fashion accessories,,8,,09-03-23,,14:57,,Ewallet,7.3
668-90-8900,A,Yangon,,Normal,Female,Home and lifestyle,,7,,10-03-23,,18:44,,Credit card,4.5
870-54-3162,A,Yangon,,Normal,Female,Sports and travel,,5,,27-01-23,,13:26,,Cash,9
189-08-9157,C,Naypyitaw,,Normal,Female,Fashion accessories,,9,,08-01-23,,16:17,,Credit card,5.9
663-86-9076,C,Naypyitaw,,Member,Female,Food and beverages,,8,,08-01-23,,15:57,,Ewallet,8.5
549-84-7482,B,Mandalay,,Normal,Female,Sports and travel,,9,,08-02-23,,11:15,,Ewallet,7.2
191-10-6171,B,Mandalay,,Normal,Female,Fashion accessories,,7,,25-01-23,,13:18,,Cash,7.5
802-70-5316,A,Yangon,,Member,Female,Sports and travel,,6,,06-03-23,,20:34,,Cash,8.3
695-51-0018,B,Mandalay,,Normal,Female,Sports and travel,,4,,10-02-23,,18:36,,Cash,7.4
590-83-4591,B,Mandalay,,Member,Male,Electronic accessories,,6,,17-02-23,,14:40,,Credit card,8.8
483-71-1164,C,Naypyitaw,,Normal,Female,Health and beauty,,6,,08-03-23,,16:43,,Ewallet,5.3
597-78-7908,C,Naypyitaw,,Normal,Male,Fashion accessories,,3,,18-02-23,,19:39,,Cash,6.2
700-81-1757,A,Yangon,,Normal,Female,Electronic accessories,,5,,18-01-23,,20:59,,Credit card,8.8
354-39-5160,A,Yangon,,Member,Female,Home and lifestyle,,6,,18-02-23,,15:39,,Cash,9.8
241-72-9525,B,Mandalay,,Normal,Male,Sports and travel,,10,,16-02-23,,12:21,,Cash,8.2
575-30-8091,A,Yangon,,Normal,Male,Sports and travel,,8,,16-03-23,,19:25,,Ewallet,9.2
731-81-9469,C,Naypyitaw,,Member,Female,Sports and travel,,10,,23-01-23,,13:00,,Credit card,5.4
280-17-4359,C,Naypyitaw,,Member,Male,Health and beauty,,10,,25-01-23,,13:48,,Cash,8.1
338-65-2210,C,Naypyitaw,,Member,Female,Health and beauty,,10,,05-02-23,,19:57,,Cash,9.1
488-25-4221,C,Naypyitaw,,Member,Female,Food and beverages,,1,,22-02-23,,10:36,,Credit card,8.4
239-10-7476,A,Yangon,,Normal,Female,Home and lifestyle,,6,,21-01-23,,16:37,,Ewallet,8
458-41-1477,C,Naypyitaw,,Normal,Female,Health and beauty,,6,,08-03-23,,17:11,,Credit card,9.5
685-64-1609,A,Yangon,,Member,Female,Fashion accessories,,10,,10-02-23,,12:28,,Ewallet,9.2
568-90-5112,C,Naypyitaw,,Normal,Male,Health and beauty,,4,,23-03-23,,12:46,,Credit card,5.6
262-47-2794,B,Mandalay,,Member,Male,Home and lifestyle,,8,,06-03-23,,15:07,,Credit card,6.2
238-49-0436,A,Yangon,,Normal,Male,Health and beauty,,8,,27-03-23,,13:48,,Credit card,4.9
608-96-3517,B,Mandalay,,Member,Female,Fashion accessories,,4,,23-03-23,,19:20,,Credit card,4.8
584-86-7256,C,Naypyitaw,,Member,Male,Sports and travel,,7,,11-03-23,,16:07,,Credit card,7.3
746-94-0204,A,Yangon,,Normal,Male,Fashion accessories,,9,,29-01-23,,11:56,,Credit card,7.4
214-17-6927,C,Naypyitaw,,Normal,Female,Food and beverages,,6,,07-02-23,,18:23,,Ewallet,9.9
400-89-4171,C,Naypyitaw,,Normal,Female,Sports and travel,,8,,28-01-23,,13:05,,Cash,9.3
782-95-9291,A,Yangon,,Member,Male,Food and beverages,,5,,20-02-23,,15:55,,Credit card,9
279-74-2924,B,Mandalay,,Member,Male,Electronic accessories,,1,,04-01-23,,19:40,,Cash,6.1
307-85-2293,B,Mandalay,,Normal,Male,Home and lifestyle,,5,,07-03-23,,13:58,,Ewallet,9.7
743-04-1105,B,Mandalay,,Member,Male,Health and beauty,,9,,30-03-23,,14:43,,Ewallet,6
423-57-2993,B,Mandalay,,Normal,Male,Sports and travel,,6,,27-03-23,,19:18,,Ewallet,10
894-41-5205,C,Naypyitaw,,Normal,Female,Food and beverages,,8,,23-01-23,,19:39,,Credit card,8.3
275-28-0149,A,Yangon,,Normal,Male,Sports and travel,,1,,25-02-23,,16:21,,Cash,6
101-17-6199,A,Yangon,,Normal,Male,Food and beverages,,7,,13-03-23,,19:44,,Credit card,7
423-80-0988,C,Naypyitaw,,Normal,Male,Sports and travel,,2,,30-01-23,,19:42,,Ewallet,6.5
548-46-9322,B,Mandalay,,Normal,Male,Food and beverages,,10,,20-02-23,,15:24,,Credit card,5.9
505-02-0892,B,Mandalay,,Member,Male,Health and beauty,,8,,25-02-23,,14:12,,Ewallet,5.6
234-65-2137,C,Naypyitaw,,Normal,Male,Home and lifestyle,,10,,16-01-23,,13:32,,Cash,4.8
687-47-8271,A,Yangon,,Normal,Male,Fashion accessories,,10,,08-02-23,,16:20,,Credit card,8.7
796-32-9050,A,Yangon,,Normal,Male,Food and beverages,,6,,23-01-23,,16:31,,Cash,6.5
105-31-1824,A,Yangon,,Member,Male,Sports and travel,,7,,01-02-23,,15:10,,Credit card,8.5
249-42-3782,A,Yangon,,Normal,Male,Health and beauty,,5,,03-01-23,,11:36,,Ewallet,5.5
316-55-4634,B,Mandalay,,Member,Male,Food and beverages,,5,,26-01-23,,12:45,,Credit card,9.4
733-33-4967,C,Naypyitaw,,Normal,Male,Electronic accessories,,8,,03-03-23,,19:17,,Cash,6.3
608-27-6295,B,Mandalay,,Member,Male,Electronic accessories,,6,,23-01-23,,17:34,,Credit card,9.8
414-12-7047,B,Mandalay,,Normal,Male,Food and beverages,,8,,18-01-23,,12:04,,Ewallet,8.7
827-26-2100,A,Yangon,,Member,Male,Home and lifestyle,,9,,21-03-23,,16:21,,Ewallet,8.8
175-54-2529,A,Yangon,,Member,Male,Food and beverages,,8,,03-03-23,,17:01,,Credit card,9.6
139-52-2867,C,Naypyitaw,,Normal,Female,Fashion accessories,,7,,13-02-23,,10:50,,Credit card,4.8
407-63-8975,A,Yangon,,Normal,Male,Food and beverages,,6,,23-03-23,,19:16,,Ewallet,4.4
342-65-4817,C,Naypyitaw,,Member,Male,Health and beauty,,3,,28-01-23,,16:47,,Ewallet,9.9
130-98-8941,C,Naypyitaw,,Normal,Male,Fashion accessories,,7,,09-02-23,,10:00,,Cash,5.7
434-83-9547,C,Naypyitaw,,Member,Male,Food and beverages,,8,,23-01-23,,11:51,,Cash,7.7
851-28-6367,A,Yangon,,Member,Male,Sports and travel,,10,,23-03-23,,10:55,,Ewallet,8
824-88-3614,C,Naypyitaw,,Normal,Male,Health and beauty,,8,,25-01-23,,15:00,,Ewallet,5.7
586-25-0848,A,Yangon,,Normal,Female,Sports and travel,,7,,04-03-23,,11:19,,Credit card,6.7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
895-66-0685,B,Mandalay,,Member,Male,Food and beverages,,3,,05-03-23,,19:46,,Ewallet,8
305-14-0245,B,Mandalay,,Member,Female,Home and lifestyle,,8,,03-03-23,,19:00,,Ewallet,7.5
732-04-5373,B,Mandalay,,Member,Male,Home and lifestyle,,4,,08-02-23,,10:53,,Cash,7
400-60-7251,A,Yangon,,Normal,Male,Home and lifestyle,,1,,10-02-23,,12:50,,Ewallet,9.9
593-65-1552,C,Naypyitaw,,Normal,Female,Home and lifestyle,,4,,28-01-23,,20:50,,Credit card,5.9
284-34-9626,B,Mandalay,,Normal,Female,Home and lifestyle,,3,,11-02-23,,10:39,,Credit card,7.2
437-58-8131,B,Mandalay,,Normal,Female,Fashion accessories,,2,,15-01-23,,13:41,,Ewallet,4.6
286-43-6208,C,Naypyitaw,,Normal,Female,Food and beverages,,9,,16-03-23,,19:08,,Cash,9.2
641-43-2399,B,Mandalay,,Normal,Male,Home and lifestyle,,4,,26-01-23,,20:23,,Ewallet,5.7
831-07-6050,A,Yangon,,Normal,Male,Electronic accessories,,5,,23-03-23,,11:30,,Credit card,9.9
556-86-3144,C,Naypyitaw,,Member,Female,Fashion accessories,,1,,13-01-23,,19:30,,Cash,5
848-24-9445,C,Naypyitaw,,Member,Male,Health and beauty,,2,,26-03-23,,18:03,,Cash,4.9
856-22-8149,A,Yangon,,Normal,Female,Home and lifestyle,,1,,23-03-23,,10:13,,Ewallet,6.1
699-01-4164,C,Naypyitaw,,Normal,Male,Health and beauty,,4,,12-03-23,,19:58,,Credit card,8.2
420-11-4919,C,Naypyitaw,,Member,Female,Food and beverages,,5,,17-02-23,,19:57,,Credit card,5.5
606-80-4905,C,Naypyitaw,,Member,Female,Sports and travel,,6,,29-01-23,,10:01,,Credit card,6.8
542-41-0513,B,Mandalay,,Member,Female,Electronic accessories,,4,,15-03-23,,11:57,,Cash,6.6
426-39-2418,C,Naypyitaw,,Normal,Male,Electronic accessories,,7,,14-01-23,,10:02,,Cash,9.8
875-46-5808,B,Mandalay,,Member,Male,Health and beauty,,10,,06-02-23,,14:51,,Ewallet,8.7
394-43-4238,B,Mandalay,,Member,Male,Home and lifestyle,,5,,15-02-23,,12:42,,Credit card,5.4
749-24-1565,A,Yangon,,Normal,Female,Health and beauty,,9,,03-01-23,,12:02,,Ewallet,7.9
672-51-8681,C,Naypyitaw,,Member,Female,Electronic accessories,,9,,04-01-23,,18:19,,Credit card,9.7
263-87-5680,C,Naypyitaw,,Member,Female,Home and lifestyle,,10,,18-03-23,,17:38,,Ewallet,7.8
573-58-9734,B,Mandalay,,Normal,Female,Fashion accessories,,3,,28-03-23,,13:41,,Ewallet,5.1
817-69-8206,B,Mandalay,,Normal,Female,Electronic accessories,,9,,02-03-23,,19:42,,Credit card,6.5
888-02-0338,A,Yangon,,Normal,Male,Electronic accessories,,9,,25-01-23,,20:24,,Ewallet,5.9
677-11-0152,C,Naypyitaw,,Normal,Female,Food and beverages,,9,,16-01-23,,18:08,,Cash,8.8
142-63-6033,B,Mandalay,,Normal,Male,Home and lifestyle,,5,,20-03-23,,19:17,,Ewallet,4.9
656-16-1063,B,Mandalay,,Normal,Male,Sports and travel,,3,,04-01-23,,13:24,,Credit card,4.4
891-58-8335,B,Mandalay,,Member,Female,Sports and travel,,7,,11-03-23,,15:53,,Cash,6.5
802-43-8934,A,Yangon,,Normal,Male,Home and lifestyle,,1,,22-03-23,,15:05,,Credit card,8.3
560-30-5617,B,Mandalay,,Normal,Female,Sports and travel,,5,,24-03-23,,18:27,,Cash,8.5
319-74-2561,A,Yangon,,Member,Female,Electronic accessories,,3,,21-02-23,,16:55,,Cash,5.5
549-03-9315,B,Mandalay,,Normal,Male,Fashion accessories,,8,,12-02-23,,12:58,,Ewallet,8.7
790-29-1172,B,Mandalay,,Normal,Female,Food and beverages,,3,,10-03-23,,18:59,,Credit card,7.9
239-36-3640,B,Mandalay,,Normal,Male,Electronic accessories,,6,,31-01-23,,13:44,,Ewallet,6.1
468-01-2051,B,Mandalay,,Normal,Male,Food and beverages,,7,,06-03-23,,13:46,,Ewallet,5.4
389-25-3394,C,Naypyitaw,,Normal,Male,Electronic accessories,,5,,17-02-23,,18:06,,Cash,9.4
279-62-1445,C,Naypyitaw,,Member,Female,Fashion accessories,,1,,21-02-23,,12:38,,Cash,8.2
213-72-6612,A,Yangon,,Normal,Male,Food and beverages,,2,,20-03-23,,15:56,,Cash,6.2
746-68-6593,C,Naypyitaw,,Member,Female,Sports and travel,,2,,11-01-23,,14:29,,Credit card,9.7
836-82-5858,B,Mandalay,,Member,Male,Health and beauty,,9,,26-01-23,,19:14,,Ewallet,4
583-72-1480,C,Naypyitaw,,Member,Male,Electronic accessories,,4,,31-01-23,,16:24,,Ewallet,9.7
466-61-5506,B,Mandalay,,Member,Female,Electronic accessories,,6,,26-02-23,,10:52,,Cash,5.3
721-86-6247,A,Yangon,,Normal,Female,Home and lifestyle,,8,,11-03-23,,12:55,,Ewallet,7.4
289-65-5721,B,Mandalay,,Normal,Female,Fashion accessories,,2,,26-01-23,,19:28,,Cash,6.5
545-46-3100,B,Mandalay,,Member,Female,Electronic accessories,,3,,12-03-23,,13:52,,Credit card,8.7
418-02-5978,B,Mandalay,,Normal,Female,Health and beauty,,9,,11-02-23,,10:54,,Cash,8
269-04-5750,B,Mandalay,,Member,Male,Fashion accessories,,4,,21-02-23,,18:31,,Cash,6.7
157-13-5295,A,Yangon,,Member,Male,Health and beauty,,10,,09-03-23,,18:24,,Ewallet,6.5
645-78-8093,A,Yangon,,Normal,Female,Sports and travel,,2,,20-01-23,,18:09,,Ewallet,4.1
211-30-9270,C,Naypyitaw,,Normal,Male,Health and beauty,,5,,28-01-23,,15:16,,Credit card,4.9
755-12-3214,C,Naypyitaw,,Member,Female,Fashion accessories,,5,,05-03-23,,17:07,,Credit card,8.6
346-84-3103,B,Mandalay,,Member,Female,Electronic accessories,,5,,02-03-23,,19:26,,Cash,4.3
478-06-7835,A,Yangon,,Normal,Male,Fashion accessories,,1,,11-01-23,,11:20,,Ewallet,4.9
540-11-4336,A,Yangon,,Normal,Male,Food and beverages,,9,,11-01-23,,16:49,,Credit card,5.6
448-81-5016,A,Yangon,,Normal,Male,Health and beauty,,2,,11-03-23,,12:01,,Credit card,5.8
142-72-4741,C,Naypyitaw,,Member,Male,Fashion accessories,,2,,28-02-23,,18:37,,Credit card,6
217-58-1179,A,Yangon,,Member,Male,Home and lifestyle,,4,,05-01-23,,11:25,,Cash,4.2
376-02-8238,B,Mandalay,,Normal,Male,Home and lifestyle,,8,,02-02-23,,18:42,,Credit card,8.3
530-90-9855,A,Yangon,,Member,Male,Home and lifestyle,,8,,01-01-23,,14:47,,Cash,5.7
866-05-7563,B,Mandalay,,Member,Female,Electronic accessories,,3,,09-02-23,,19:43,,Cash,4.8
604-70-6476,A,Yangon,,Member,Male,Fashion accessories,,5,,23-01-23,,14:04,,Ewallet,6.8
